question,reponse
Comment composer mon nouveau mot de passe?,"Votre nouveau mot de passe doit comporter entre 7 et 20 caractères alphanumériques, et inclure au moins une lettre et au moins un chiffre. Ex: LJwekHrx8XXM6"
Que se passe-t-il en cas d'échec lors d'une première tentative de connexion?,"En cas d'échec, vous aurez la possibilité de vous connecter à nouveau. Cependant, après 3 essais de connexion infructueux, le système bloquera votre accès à Attijarinet pendant 5 minutes."
Que faire si j'oublie ou je perds mon mot de passe?,"Le lien ""Mot de passe oublié?""' via attijarinet ou « Mot de passe oublié » via Attijari Mobile » vous mènera vers un formulaire sur lequel vous serez invité(e) à renseigner les informations suivantes : Votre identifiant Un de vos numéros de compte domiciliés chez Attijariwafa bank Suite à la validation de ces informations, un code de réinitialisation provisoire vous sera envoyé à votre GSM renseigné lors de la souscription au contrat Attijarinet. A la réception de ce code, vous serez invité à le saisir et à redéfinir votre mot de passe."
A quoi sert mon code à usage unique?,Le code à usage unique renforce le niveau de sécurité de votre espace Attijarinet. Il vous servira à valider toutes vos opérations sensibles : Validation de vos virements Validation de vos recharges de carte Validation de vos mises à disposition sur GAB Validation de l'ajout de bénéficiaires de virements Validation de l'ajout de cartes bénéficiaires (pour la recharge de carte)
Que puis-je faire si je ne reçois pas mon code à usage unique?,"Rassurez-vous! Vous pouvez cliquer sur le bouton ""Appel vocal"" et recevoir le code par appel vocal. En cas de non réception de l'appel, veuillez vérifier si le N° GSM spécifié est correcte, sinon nous vous invitons à vous adresser à votre agence pour le modifier. En cas de non réception du sms, pensez à mettre à jour votre opérateur téléphonique dans le sous-menu ""Mes données personnelles"" du menu ""Mon espace Attijarinet""."
"Que se passe-t-il suite à une saisie infructueuse du code à usage unique lors de la validation de mes opérations (virements, ajout de bénéficiaires...)?","En cas d'échec, vous aurez la possibilité de le saisir à nouveau. Après 3 saisies infructueuses, fernez la fenêtre de saisie du code pour revalider votre opération et regénérer un nouveau code."
Vous avez besoin d'assistance sur l'utilisation d'Attijarinet ?,Une équipe dédiée est à votre disposition pour la prise en charge de vos demandes au : 05 22 58 88 55. Vous pouvez également nous contacter par email à l'adresse : attijarinet@attijariwafa.com. Horaires : Du lundi au samedi de 8h à 20h. Horaires Ramadan : Du lundi au samedi de 9h à 15h. Pour les marocains résidents à l'étranger : France : +33 820 89 98 99‬ Italie : +39 0144 230095‬ Espagne : +34 911 23 15 41 Hollande : +31 800 554 4002‬ Belgique : +32 2 588 48 30‬ Allemagne : ‭+49 32 221095029 Canada : +1 58 76 03 63 53 Royaume-Uni : +44 13 61 31 02 12
Vous souhaitez faire une réclamation ou formuler une remarque ou suggestion ?,"Le Centre de Relation Client d'Attijariwafa bank est un service gratuit qui vous permet de : Accéder à votre solde Avoir le détail de vos opérations bancaires Obtenir des informations générales sur les services bancaires Faire des simulations de crédits Obtenir une assistance pour l'utilisation d'attijarinet Demander l'opposition en cas de perte ou de vol de votre carte bancaire, ainsi que l'information concernant l'opposition sur chéquier Demander des documents ou nous faire part de vos suggestions ou réclamations... Le Centre de relation client d'Attijariwafa bank est à votre disposition pour la prise en charge de vos demandes au : 05.22.58.88.55 Horaires : Du lundi au samedi de 8h à 20h Horaires Ramadan : Du lundi au samedi de 9h à 15h Vous disposez également d'un Service Vocal Interactif (SVI) disponible pour la consultation du solde de 20h à 08h (GMT), les dimanches et jours fériés (toute la journée). Vous pouvez également nous contacter: par email: crc@attijariwafa.com par fax: 05.22.25.98.16 par courrier: Angle rue El Kotni et rue Aljounaid, Casablanca Pour les marocains résidents à l'étranger : France : +33 820 89 98 99‬ Italie : +39 0144 230095‬ Espagne : +34 911 23 15 41 Hollande : +31 800 554 4002‬ Belgique : +32 2 588 48 30‬ Allemagne : ‭+49 32 221095029 Canada : +1 58 76 03 63 53 Royaume-Uni : +44 13 61 31 02 12"
Vous avez perdu votre chéquier ? On vous a volé votre chéquier ?,"Ne paniquez pas ! Cela peut arriver à tout le monde. Il suffit de suivre les étapes suivantes: 1. Vous devez immédiatement aviser votre agence, et lui communiquer les références du ou des chèques pour la mise en opposition provisoire. 2. Ensuite, vous devez faire une déclaration de perte ou de vol auprès des autorités publiques (commissariat). 3. Une fois que vous aurez récupéré la déclaration de perte ou de vol, vous devez la déposer chez votre agence, pour confirmer la mise en opposition."
Vous avez perdu votre carte bancaire ? On vous a volé votre carte bancaire ?,"Ne paniquez pas ! - Vous pouvez effectuer votre opposition sur carte en ligne dans votre espace connecté - Ou suivre les étapes suivantes : 1. Vous devez immédiatement aviser votre agence de la perte ou du vol de votre carte. Si votre agence est fermée, vous pouvez appeler, le numéro suivant : 05.22.23.91.91 à n'importe quel moment 24h/24 et 7j/7. 2. Vous devez faire une déclaration de perte ou de vol auprès des autorités publiques (commissariat). 3. Déposez votre déclaration de perte ou de vol chez votre agence, pour confirmer la mise en opposition."
Vous avez oublié le code secret de votre carte bancaire?,"Ne vous inquiétez pas ! En cas d'oubli de votre code secret de carte bancaire, vous pouvez soit : 1. Vous adresser à votre agence Attijariwafa bank. 2. Appeler le Centre de Relation Client, au 05.22.58.88.55. La banque vous communiquera votre nouveau code par voie postale."
Pourquoi Attijariwafa bank a créé AttijariTrade ?,"AttijariTrade propose des services innovants pour doter les entreprises marocaines ou étrangères de nouveaux outils, simples et performants, pour leur permettre de se développer efficacement sur les marchés étrangers."
Quel est le but d’AttijariTrade ?,"AttijariTrade est un site interactif sur le commerce international qui a pour objectif l’accompagnement des opérateurs marocains ou étrangers, particulièrement les PME-PMI, dans le cadre de leurs activités à l’international. Grâce à des contenus mis à jour et à un large éventail de services proposés, AttijariTrade peut aider de façon efficace les entreprises tout au long de leurs démarches à l’international."
Quels sont les avantages à s’inscrire à AttijariTrade ?,AttijariTrade fournit une gamme étendue de services. L'inscription est gratuite pour toute entreprise. Ce portail est idéal pour trouver des informations et des solutions simples et efficaces pour le développement à l’international de votre entreprise.
"Si je ne suis pas une société marocaine, puis-je m'inscrire ?","Le portail AttijariTrade s'adresse aux PME-PMI et professionnels marocains, immatriculés au Registre de Commerce."
"Si je suis une association marocaine, je n’ai pas de numéro de registre de commerce, puis-je m'inscrire ?","AttijariTrade a été conçu pour toutes les entreprises opérant dans le domaine du commerce extérieur. Il s’adresse également aux cabinets de conseils, associations et organismes professionnels. Ainsi, vous avez la possibilité de vous s’inscrire au portail et d’avoir accès à tous les services du site. Pour cela, adressez votre demande d’inscription à info@attijaritrade.ma en indiquant toutes vos coordonnées et nous vous validerons votre inscription."
Quels sont les services d’AttijariTrade ?,"AttijariTrade est la plateforme de référence qui répond au mieux aux besoins des entreprises marocaines ou étrangères en information, assistance et conseil pour leur développement à l’international. Elle propose une multitude de services, y compris des études de marché, des informations sur les salons internationaux et des solutions bancaires adaptées."
L'accès au site est-il libre et gratuit ?,"Certaines rubriques sont accessibles au grand public sans la création d'un profil. Pour accéder aux autres rubriques et services du site, vous devez au préalable créer votre profil gratuitement."
"De nombreuses informations et documents sont accessibles gratuitement, quelles sont les sources ? Sont-elles mises à jour ?","Les informations et documents sont issus de sources fiables telles que l'Organisation Mondiale du Commerce, la Banque Mondiale, l’ONU, Ducroire, etc. Ces sources sont régulièrement mises à jour pour assurer la pertinence et la fiabilité des informations fournies."
J'ai oublié mon mot de passe. Comment puis-je le récupérer ?,Il suffit de cliquer sur « Mot de passe oublié ? » en haut du portail et entrer l'adresse e-mail que vous avez utilisée pour l'enregistrement. Vous recevrez automatiquement un message avec votre nom d'utilisateur et votre mot de passe.
A quoi sert le dossier personnel ? Puis-je modifier des éléments de mon profil ?,"Le dossier personnel permet aux utilisateurs d‘archiver leurs préférences et de modifier leurs informations personnelles. Il est accessible en haut du portail. De plus, il est possible de changer ou de modifier son profil. Une fois inscrite, l’entreprise peut accéder à tout moment à son dossier personnel et modifier son profil sur un simple clic."
Comment puis-je vous faire part de mes remarques ?,"Une fois inscrit, vous trouverez dans le pied de la page, une rubrique « Contact ». Par le biais de ce service, il vous est alors possible de nous adresser vos commentaires auxquels nous ne manquerons pas de répondre rapidement."
Que dois-je faire pour ouvrir un compte Attijariwafa Bank Europe ?,"Il vous suffit de vous présenter dans une agence Attijariwafa Bank Europe, muni de votre pièce d’identité. Si vous ne pouvez pas vous déplacer, vous pouvez aussi compléter le formulaire de contact en cliquant ici, un conseiller vous contactera dans les meilleurs délais."
Comment consulter mon compte Attijariwafa Bank Europe ?,"Pour consulter votre solde Attijariwafa Bank Europe, il vous suffit de vous connecter sur votre espace client Attijariwafa Bank Europe ou de vous rendre dans votre agence Attijariwafa Bank Europe."
Comment dois-je faire pour effectuer un transfert d'argent vers l'étranger ?,"Transfert d’argent par carte bancaire, par chèque, en espèces, de compte à compte… Plusieurs options s’offrent à vous. N’hésitez pas à contacter un conseiller au 0 800 006 846 Service & appel gratuits qui vous proposera le moyen de transfert d’argent adapté à votre besoin."
Mes dépôts sont-ils garantis ici en France ?,"Présentation du FGDR et sa mission Le Fonds de Garantie des Dépôts et de Résolution (FGDR) créé par la loi du 25 juin 1999 est chargé de protéger et indemniser les clients en cas de défaillance de leur établissement bancaire. La Garantie des Dépôts couvre les comptes de dépôts et les livrets jusqu’à 100 000€ (hors livret garantis par l’Etat). La Garantie des Titres couvre les instruments financiers jusqu’à 70 000€. La Garantie des Cautions couvre les engagements de cautions règlementaires pris par des professionnels pour leurs clients. Le FGDR peut intervenir aussi en Résolution de crise avant faillite, pour éviter les conséquences pour les clients. Produits couverts Les comptes de dépôts (compte courant, compte d’épargne, livret d’épargne, CEL, PEL…) sont couverts par la Garantie des Dépôts de FGDR (hors livret A, LDDS et LEP, garantis par l’Etat). Pour télécharger la plaquette de présentation des activités du FGDR et la liste des produits et leur garantie, cliquez ici. Pour plus d’informations, n’hésitez pas à consulter le site du Fonds de Garantie des Dépôts et de Résolution en cliquant ici."
Comment dois-je faire pour déposer un chèque en Europe ?,"Il vous suffit de vous présenter au guichet de votre agence Attijariwafa Bank Europe muni du chèque à déposer et de remplir un bordereau de remise de chèque, mis à votre disposition."
Comment dois-je faire pour déposer ou retirer des espèces en Europe ?,"Vous pouvez effectuer des dépôts et retraits d’espèces au guichet de votre agence Attijariwafa Bank Europe, pendant les horaires d’ouverture. Il vous est également possible de retirer des espèces à un distributeur de billets à l’aide de votre carte et dans la limite du plafond autorisé."
Comment dois-je faire pour me procurer un RIB en Europe ?,"Il vous est possible de vous procurer un RIB de plusieurs manières : Un RIB est joint à votre relevé de compte bancaire qui vous est envoyé chaque mois. Plusieurs RIB sont disponibles à la fin de votre carnet de chèques. Vous pouvez l’imprimer directement à partir d’e-Attijari, « votre banque à distance »."
Que faire en cas de perte ou de vol de mes moyens de paiements ?,"En cas de perte ou de vol ou d’utilisation frauduleuse d’un chèque ou de votre chéquier, prenez immédiatement contact avec le Centre National d’Appel des chèques perdus ou volés au 0 892 68 32 08 Service 0,337 € / min + prix appel (24h/24) afin de faire opposition à votre moyen de paiement. En cas de perte, de vol ou d’utilisation frauduleuse de votre carte, faites opposition à votre moyen de paiement, en appelant le 03 88 39 85 78 (n° non surtaxé, coût selon opérateur), 24 heures sur 24, 7 jours sur 7."
Que dois-je faire si le distributeur automatique de billets avale ma carte bancaire en Europe ?,"Panne du distributeur, erreurs de code, carte oubliée, périmée ou déclarée volée… Plusieurs raisons peuvent entraîner le distributeur automatique de billets à avaler votre carte. Pour la récupérer, certaines règles sont à respecter. Si le distributeur est relié à une agence bancaire, présentez-vous au guichet muni d’une pièce d’identité et demandez la restitution de votre carte. Si le distributeur est isolé ou si l’agence est fermée, appelez votre conseiller bancaire et faites opposition. Vous serez ainsi protégé en cas d’utilisation frauduleuse de votre carte."
Comment dois-je faire pour payer et retirer de l'argent à l'étranger en Europe ?,Vous pouvez le faire très facilement en utilisant une carte de retrait et de paiement internationale. Votre conseiller Attijariwafa Bank Europe est là pour vous proposer le moyen de paiement le mieux adapté à vos besoins. Contactez-le.
Comment puis-je contacter mon conseiller en Europe ?,Vous pouvez contacter votre conseiller par mail ou par téléphone en appelant le 0 800 006 846 Service & appel gratuits
Y aura-t-il un problème pour utiliser les anciens chéquiers et cartes ATM après avoir changé l'identité et le logo de la marque ? Quel est le délai de grâce spécifique pendant lequel je peux utiliser d'anciennes cartes ATM et chéquiers jusqu'à ce que de nouveaux soient émis ??,"Il n'y aura aucune difficulté lors de l'utilisation de l'un des éléments mentionnés ci-dessus. Vos chéquiers seront valables jusqu'à ce qu'ils soient entièrement consommés ou si vous demandez leur remplacement. Pour les cartes de crédit et de débit, elles sont valables jusqu'à leur date d'expiration ou leur remplacement en cas de perte ou de dommage.."
"Est-il nécessaire de changer les chéquiers, les cartes de crédit et les cartes de débit?","Vos chéquiers, cartes de crédit et de débit seront toujours valables jusqu'à ce que vos chéquiers soient entièrement consommés et/ou remplacés à votre demande. Pour les cartes de crédit et de débit, elles sont valables jusqu'à leur date d'expiration ou leur remplacement en cas de perte ou de dommage.."
Le logo de la Banque sera-t-il placé sur tout ce qui concerne la Banque en Egypte?,"Bien entendu, le nouveau logo et le nouveau nom de la banque seront apposés sur le siège social, les succursales, tous les distributeurs automatiques de billets, les cartes de débit, les cartes de crédit, les correspondances, les panneaux d'affichage et tout ce qui concerne la banque porteront le nouveau logo. Selon ce plan, il n'est pas nécessaire de changer le logo des cartes de crédit et de débit existantes, jusqu'à leur date d'expiration.."
Allez-vous ouvrir de nouvelles succursales?,"La banque étudie les besoins du marché et la poursuite de son expansion sur le marché en fait partie. Cependant, la décision d'ouvrir de nouvelles succursales dépend de la stratégie de la banque et de nombreux autres facteurs. Il existe certainement une grande possibilité d'ouvrir de nouvelles succursales dans un avenir proche après avoir réalisé les études nécessaires et évalué les besoins de nos clients.."
"Pendant l'achèvement du changement de marque, les transactions bancaires s'arrêteront-elles pendant un certain temps?","Les transactions bancaires ne s'arrêteront pas du tout et les affaires continueront comme d'habitude, en maintenant nos horaires et jours de travail normaux.."
Y aura-t-il une période de transition pour les services ATM avec changement d'identité et de logo de la banque ??,"Les services ATM ne s'arrêteront pas et continueront de fonctionner 24 heures sur 24, 7 jours sur 7, sauf avec un temps d'arrêt minimal pour la maintenance régulière. La maintenance régulière a généralement lieu tard dans la nuit, hors heures de pointe et n'a rien à voir avec le changement de l'identité et du logo de la banque.."
"Après avoir changé l'identité et le logo de la banque, la banque peut-elle m'aider à financer mon projet dans l'un des pays étrangers dans lesquels la banque opère?","Les financements de projets d'Attijariwafa bank ne sont pas liés à un pays en particulier. Cependant, cela est lié à un ensemble de règles et réglementations que la banque adopte et qui sont conformes à la gouvernance et aux autorités de régulation de chaque pays. En tant que client apprécié, peut améliorer ou accélérer le processus pour vous lorsque vous traitez avec toute autre succursale dans l'un des pays dans lesquels Attijariwafa bank opère ; le tout dans le cadre légal et réglementaire de la banque."
De quels services et avantages puis-je bénéficier puisque AWB opère dans plus de 26 pays en Afrique et en Europe?,Promouvoir la coopération commerciale et ouvrir les marchés à nos clients dans les pays dans lesquels nous opérons est l’une de nos principales priorités. Nous annoncerons les mécanismes et les canaux de communication spéciaux pour profiter de nos initiatives dans ce domaine.
La Banque continuera-t-elle à financer les projets des PME après avoir changé son identité et son logo?,La priorité absolue d’Attijariwafa bank est l’accompagnement des petites et moyennes entreprises. Ceci est fortement soutenu par la présence d'une unité spécialisée pour financer ce secteur et fournir des produits et services de premier ordre..
Y aura-t-il un changement dans les services de prêt bancaire fournis après avoir changé son identité et son logo?,"Changer l'identité et le logo de la banque n'aura aucun impact sur vos prêts existants. Cependant, certains changements interviendront concernant les futurs produits de la banque, qui amélioreront le service client et d'autres aspects. Nous continuerons à vous tenir informé de tout développement ou modification de nos produits.."
